# Preset Configuration File
layer_num=0,v=5.3,r=6370
layer_num=1,v=5.3566666666666665,r=6369
layer_num=2,v=5.413333333333333,r=6368
layer_num=3,v=5.47,r=6367
layer_num=4,v=5.526666666666666,r=6366
layer_num=5,v=5.583333333333333,r=6365
layer_num=6,v=5.64,r=6364
layer_num=7,v=5.696666666666666,r=6363
layer_num=8,v=5.753333333333333,r=6362
layer_num=9,v=5.81,r=6361
layer_num=10,v=5.866666666666666,r=6360
layer_num=11,v=5.923333333333333,r=6359
layer_num=12,v=5.9799999999999995,r=6358
layer_num=13,v=6.036666666666666,r=6357
layer_num=14,v=6.093333333333334,r=6356
layer_num=15,v=6.15,r=6355
layer_num=16,v=6.206666666666667,r=6354
layer_num=17,v=6.263333333333334,r=6353
layer_num=18,v=6.32,r=6352
layer_num=19,v=6.376666666666667,r=6351
layer_num=20,v=6.433333333333334,r=6350
layer_num=21,v=6.49,r=6349
layer_num=22,v=6.546666666666667,r=6348
layer_num=23,v=6.6033333333333335,r=6347
layer_num=24,v=6.66,r=6346
layer_num=25,v=6.716666666666667,r=6345
layer_num=26,v=6.773333333333333,r=6344
layer_num=27,v=6.83,r=6343
layer_num=28,v=6.886666666666667,r=6342
layer_num=29,v=6.943333333333333,r=6341
layer_num=30,v=7.0,r=6340
layer_num=31,v=7.024285714285714,r=6339
layer_num=32,v=7.048571428571429,r=6338
layer_num=33,v=7.072857142857143,r=6337
layer_num=34,v=7.097142857142857,r=6336
layer_num=35,v=7.121428571428571,r=6335
layer_num=36,v=7.145714285714286,r=6334
layer_num=37,v=7.17,r=6333
layer_num=38,v=7.194285714285714,r=6332
layer_num=39,v=7.218571428571429,r=6331
layer_num=40,v=7.242857142857143,r=6330
layer_num=41,v=7.267142857142857,r=6329
layer_num=42,v=7.291428571428571,r=6328
layer_num=43,v=7.315714285714286,r=6327
layer_num=44,v=7.34,r=6326
layer_num=45,v=7.364285714285714,r=6325
layer_num=46,v=7.388571428571429,r=6324
layer_num=47,v=7.412857142857143,r=6323
layer_num=48,v=7.437142857142857,r=6322
layer_num=49,v=7.461428571428571,r=6321
layer_num=50,v=7.485714285714286,r=6320
layer_num=51,v=7.51,r=6319
layer_num=52,v=7.534285714285714,r=6318
layer_num=53,v=7.558571428571428,r=6317
layer_num=54,v=7.582857142857143,r=6316
layer_num=55,v=7.607142857142857,r=6315
layer_num=56,v=7.631428571428571,r=6314
layer_num=57,v=7.655714285714286,r=6313
layer_num=58,v=7.68,r=6312
layer_num=59,v=7.704285714285714,r=6311
layer_num=60,v=7.728571428571428,r=6310
layer_num=61,v=7.752857142857143,r=6309
layer_num=62,v=7.777142857142857,r=6308
layer_num=63,v=7.801428571428571,r=6307
layer_num=64,v=7.825714285714286,r=6306
layer_num=65,v=7.85,r=6305
layer_num=66,v=7.874285714285714,r=6304
layer_num=67,v=7.898571428571428,r=6303
layer_num=68,v=7.922857142857143,r=6302
layer_num=69,v=7.947142857142857,r=6301
layer_num=70,v=7.971428571428571,r=6300
layer_num=71,v=7.9957142857142856,r=6299
layer_num=72,v=8.02,r=6298
layer_num=73,v=8.044285714285714,r=6297
layer_num=74,v=8.068571428571428,r=6296
layer_num=75,v=8.092857142857142,r=6295
layer_num=76,v=8.117142857142856,r=6294
layer_num=77,v=8.141428571428571,r=6293
layer_num=78,v=8.165714285714285,r=6292
layer_num=79,v=8.19,r=6291
layer_num=80,v=8.214285714285714,r=6290
layer_num=81,v=8.238571428571428,r=6289
layer_num=82,v=8.262857142857142,r=6288
layer_num=83,v=8.287142857142857,r=6287
layer_num=84,v=8.311428571428571,r=6286
layer_num=85,v=8.335714285714285,r=6285
layer_num=86,v=8.36,r=6284
layer_num=87,v=8.384285714285713,r=6283
layer_num=88,v=8.408571428571427,r=6282
layer_num=89,v=8.432857142857141,r=6281
layer_num=90,v=8.457142857142856,r=6280
layer_num=91,v=8.481428571428571,r=6279
layer_num=92,v=8.505714285714285,r=6278
layer_num=93,v=8.53,r=6277
layer_num=94,v=8.554285714285713,r=6276
layer_num=95,v=8.578571428571427,r=6275
layer_num=96,v=8.602857142857141,r=6274
layer_num=97,v=8.627142857142857,r=6273
layer_num=98,v=8.651428571428571,r=6272
layer_num=99,v=8.675714285714285,r=6271
layer_num=70,v=7.8,r=6300
layer_num=71,v=7.804666666666667,r=6299
layer_num=72,v=7.809333333333333,r=6298
layer_num=73,v=7.814,r=6297
layer_num=74,v=7.818666666666666,r=6296
layer_num=75,v=7.823333333333333,r=6295
layer_num=76,v=7.827999999999999,r=6294
layer_num=77,v=7.832666666666666,r=6293
layer_num=78,v=7.8373333333333335,r=6292
layer_num=79,v=7.842,r=6291
layer_num=80,v=7.846666666666667,r=6290
layer_num=81,v=7.851333333333333,r=6289
layer_num=82,v=7.856,r=6288
layer_num=83,v=7.860666666666667,r=6287
layer_num=84,v=7.865333333333333,r=6286
layer_num=85,v=7.87,r=6285
layer_num=86,v=7.874666666666666,r=6284
layer_num=87,v=7.879333333333333,r=6283
layer_num=88,v=7.8839999999999995,r=6282
layer_num=89,v=7.8886666666666665,r=6281
layer_num=90,v=7.8933333333333335,r=6280
layer_num=91,v=7.898,r=6279
layer_num=92,v=7.902666666666667,r=6278
layer_num=93,v=7.907333333333333,r=6277
layer_num=94,v=7.912,r=6276
layer_num=95,v=7.916666666666666,r=6275
layer_num=96,v=7.921333333333333,r=6274
layer_num=97,v=7.926,r=6273
layer_num=98,v=7.930666666666666,r=6272
layer_num=99,v=7.935333333333333,r=6271
layer_num=100,v=7.9399999999999995,r=6270
layer_num=101,v=7.9446666666666665,r=6269
layer_num=102,v=7.949333333333334,r=6268
layer_num=103,v=7.954,r=6267
layer_num=104,v=7.958666666666667,r=6266
layer_num=105,v=7.963333333333333,r=6265
layer_num=106,v=7.968,r=6264
layer_num=107,v=7.972666666666666,r=6263
layer_num=108,v=7.977333333333333,r=6262
layer_num=109,v=7.982,r=6261
layer_num=110,v=7.986666666666666,r=6260
layer_num=111,v=7.991333333333333,r=6259
layer_num=112,v=7.9959999999999996,r=6258
layer_num=113,v=8.000666666666666,r=6257
layer_num=114,v=8.005333333333333,r=6256
layer_num=115,v=8.01,r=6255
layer_num=116,v=8.014666666666667,r=6254
layer_num=117,v=8.019333333333334,r=6253
layer_num=118,v=8.024,r=6252
layer_num=119,v=8.028666666666666,r=6251
layer_num=120,v=8.033333333333333,r=6250
layer_num=121,v=8.038,r=6249
layer_num=122,v=8.042666666666667,r=6248
layer_num=123,v=8.047333333333333,r=6247
layer_num=124,v=8.052,r=6246
layer_num=125,v=8.056666666666667,r=6245
layer_num=126,v=8.061333333333334,r=6244
layer_num=127,v=8.066,r=6243
layer_num=128,v=8.070666666666666,r=6242
layer_num=129,v=8.075333333333333,r=6241
layer_num=130,v=8.08,r=6240
layer_num=131,v=8.084666666666667,r=6239
layer_num=132,v=8.089333333333332,r=6238
layer_num=133,v=8.094,r=6237
layer_num=134,v=8.098666666666666,r=6236
layer_num=135,v=8.103333333333333,r=6235
layer_num=136,v=8.108,r=6234
layer_num=137,v=8.112666666666666,r=6233
layer_num=138,v=8.117333333333333,r=6232
layer_num=139,v=8.122,r=6231
layer_num=140,v=8.126666666666667,r=6230
layer_num=141,v=8.131333333333334,r=6229
layer_num=142,v=8.136,r=6228
layer_num=143,v=8.140666666666666,r=6227
layer_num=144,v=8.145333333333333,r=6226
layer_num=145,v=8.15,r=6225
layer_num=146,v=8.154666666666667,r=6224
layer_num=147,v=8.159333333333333,r=6223
layer_num=148,v=8.164,r=6222
layer_num=149,v=8.168666666666667,r=6221
layer_num=150,v=8.173333333333334,r=6220
layer_num=151,v=8.178,r=6219
layer_num=152,v=8.182666666666666,r=6218
layer_num=153,v=8.187333333333333,r=6217
layer_num=154,v=8.192,r=6216
layer_num=155,v=8.196666666666667,r=6215
layer_num=156,v=8.201333333333332,r=6214
layer_num=157,v=8.206,r=6213
layer_num=158,v=8.210666666666667,r=6212
layer_num=159,v=8.215333333333334,r=6211
layer_num=160,v=8.22,r=6210
layer_num=161,v=8.224666666666666,r=6209
layer_num=162,v=8.229333333333333,r=6208
layer_num=163,v=8.234,r=6207
layer_num=164,v=8.238666666666667,r=6206
layer_num=165,v=8.243333333333334,r=6205
layer_num=166,v=8.248,r=6204
